impactCategory.name,,,,Acidification,Eutrophication,Freshwater ecotoxicity,Global warming,Human health - cancer,Human health - non-cancer,Human health - particulate matter,Ozone depletion,Smog formation
impactCategory.refUnit,,,,kg SO2 eq,kg N eq,CTUeco,kg CO2 eq,CTUcancer,CTUnoncancer,PM 2.5 eq,kg CFC-11 eq,kg O3 eq
category,process,flow,unit,,,,,,,,,
"21: Mining, Quarrying, and Oil and Gas Extraction/2123: Nonmetallic Mineral Mining and Quarrying","Natural soda ash (Sodium carbonate), at plant - US","Natural soda ash (Sodium carbonate), at plant",kg,0.0014898,4.8362e-05,3.158,0.69373,6.8198e-09,1.2513e-06,6.0056e-05,1.3923e-09,0.02694
"21: Mining, Quarrying, and Oil and Gas Extraction/2123: Nonmetallic Mineral Mining and Quarrying","Soda powder, at plant - RNA","Soda powder, at plant",kg,0.002554,5.256e-05,2.2933,0.90136,5.4675e-09,9.6723e-07,0.00012351,5.987e-09,0.023696
"21: Mining, Quarrying, and Oil and Gas Extraction/2123: Nonmetallic Mineral Mining and Quarrying","Sodium chloride, at plant - RNA","Sodium chloride, at plant",kg,0.00074929,5.0089e-05,0.8413,0.14473,1.8715e-09,3.3896e-07,2.0591e-05,9.3301e-10,0.018742
"21: Mining, Quarrying, and Oil and Gas Extraction/2123: Nonmetallic Mineral Mining and Quarrying",Spodumene ore; open pit mining; at plant; 1.89% lithium oxide ore grade - CA,"Spodumene ore, 1.89% lithium oxide, at plant",kg,2.2405e-06,3.5274e-06,0.0053378,0.0078359,1.2058e-11,2.1046e-09,1.7735e-07,1.702e-11,9.4201e-05
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity, alumina refining regions - RNA","Electricity, alumina refining regions",kWh,0.0037175,0.00012392,0.31412,0.75781,7.8446e-10,1.2795e-07,0.00016766,3.4947e-10,0.039596
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity, aluminum smelting and ingot casting regions - RNA","Electricity, aluminum smelting and ingot casting regions",kWh,0.0031455,4.9041e-05,0.15508,0.3873,4.209e-10,6.7285e-08,0.00015149,8.128e-11,0.024701
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity, at cogen, for natural gas turbine - RNA","Electricity, at cogen, for natural gas turbine",kWh,0.00060944,3.7523e-05,0.12391,0.45745,2.4902e-10,4.5512e-08,1.0959e-05,4.7934e-11,0.019388
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity, at grid - CD","Electricity, at grid",MJ,5.1172e-07,2.5131e-08,9.9917e-07,0.00055075,8.9779e-13,3.9297e-13,4.5263e-09,3.1481e-15,0.00015072
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity, at grid - CN","Electricity, at grid",MJ,0.0016173,2.5209e-05,0.082055,0.20334,2.291e-10,3.5424e-08,7.7684e-05,4.1803e-11,0.014075
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity, bauxite mining regions - GLO","Electricity, at bauxite mining regions",kWh,0.0011502,0.00041287,0.59866,0.92837,1.515e-09,2.3449e-07,4.1004e-05,1.8184e-09,0.030827
